,Ccdc116,Gng11,Serpina3n,Enpp6,Gm6089,True Labels,Predicted Labels
0,0.241860465116279,0.36363636363636354,0.1640625,0.2379182156133829,0.8999999999999999,JOHD,JOHD
1,0.0604651162790697,0.4727272727272729,0.5546875,0.617100371747212,0.8999999999999999,JOHD,JOHD
2,0.23720930232558124,0.4181818181818182,0.3046875,0.16356877323420072,0.14285714285714285,JOHD,JOHD
3,1.0,0.5818181818181818,1.0,0.8178438661710038,0.7428571428571428,JOHD,JOHD
4,0.6232558139534881,1.0000000000000002,0.734375,0.9999999999999999,0.7999999999999999,JOHD,JOHD
5,0.09302325581395343,0.1454545454545455,0.0,0.16356877323420072,0.0,WT,WT
6,0.25116279069767433,0.4545454545454548,0.7578125,0.34944237918215626,0.9999999999999999,JOHD,JOHD
7,0.38604651162790704,0.0,0.1015625,0.0,0.08571428571428572,WT,WT
8,0.16744186046511622,0.4181818181818182,0.2734375,0.4832713754646841,0.1714285714285714,JOHD,JOHD
9,0.14883720930232558,0.49090909090909096,0.765625,0.8066914498141263,0.9999999999999999,JOHD,JOHD
10,0.0,0.6909090909090911,0.3125,0.25278810408921937,0.11428571428571427,WT,WT
