,Gm6089,Gng11,Gm5067,Enpp6,True Labels,Predicted Labels
0,0.21600000000000008,0.6234567901234567,0.46376811594202894,0.6875000000000001,JOHD,JOHD
1,0.16000000000000003,0.6172839506172838,0.8695652173913043,0.5750000000000001,JOHD,JOHD
2,0.20000000000000007,0.4938271604938269,0.4347826086956521,0.5375000000000001,JOHD,JOHD
3,0.28800000000000014,0.45679012345679015,0.6521739130434783,0.6625000000000001,JOHD,JOHD
4,0.15600000000000003,0.6172839506172838,0.8115942028985507,0.9,JOHD,JOHD
5,0.19600000000000006,0.35185185185185186,0.6666666666666666,0.5625000000000001,JOHD,JOHD
6,0.18000000000000005,0.5123456790123455,0.28985507246376807,0.5,JOHD,JOHD
7,0.08400000000000007,0.17901234567901225,0.14492753623188406,0.075,JOHD,WT
8,0.4920000000000001,0.9999999999999998,0.2753623188405797,0.0875,JOHD,JOHD
9,0.2400000000000001,0.6358024691358024,0.3913043478260869,0.7500000000000001,JOHD,JOHD
10,0.20400000000000007,0.24691358024691357,0.34782608695652173,0.48750000000000004,JOHD,JOHD
11,0.07200000000000006,0.1358024691358024,0.6231884057971014,0.7375,JOHD,JOHD
12,0.28800000000000014,0.6172839506172838,0.6086956521739131,0.8500000000000001,JOHD,JOHD
13,0.15200000000000002,0.5493827160493827,0.9999999999999999,0.8,JOHD,JOHD
14,0.19600000000000006,0.7654320987654322,0.6376811594202898,0.5750000000000001,JOHD,JOHD
15,0.2320000000000001,0.33333333333333326,0.6811594202898551,0.6875000000000001,JOHD,JOHD
16,0.10000000000000009,0.5185185185185184,0.7101449275362318,0.7875000000000001,JOHD,JOHD
17,0.20000000000000007,0.6728395061728392,0.3913043478260869,0.5375000000000001,JOHD,JOHD
18,0.04400000000000004,0.4320987654320987,0.3188405797101449,0.075,JOHD,JOHD
19,0.12,0.8271604938271604,0.6376811594202898,0.65,JOHD,JOHD
20,0.2440000000000001,0.33333333333333326,0.5072463768115942,0.5,JOHD,JOHD
21,0.5160000000000001,0.8395061728395061,0.30434782608695654,0.6125,JOHD,JOHD
22,0.0,0.6419753086419753,0.5942028985507246,0.8750000000000001,JOHD,JOHD
23,0.28400000000000014,0.7160493827160492,0.20289855072463767,0.15,JOHD,JOHD
24,0.052000000000000046,0.6172839506172838,0.1739130434782609,0.0625,WT,JOHD
25,0.08000000000000007,0.3395061728395061,0.20289855072463767,0.05,WT,WT
26,0.42400000000000004,0.5802469135802466,0.13043478260869565,0.1,WT,JOHD
27,0.0040000000000000036,0.2777777777777777,0.10144927536231885,0.0625,WT,WT
28,0.2400000000000001,0.3580246913580247,0.1739130434782609,0.05,WT,WT
29,0.04800000000000004,0.0,0.1739130434782609,0.0875,WT,WT
30,0.33599999999999997,0.191358024691358,0.014492753623188415,0.037500000000000006,WT,WT
31,0.124,0.2037037037037035,0.043478260869565216,0.024999999999999994,WT,WT
32,0.356,0.7962962962962961,0.9420289855072465,0.8250000000000001,JOHD,JOHD
33,0.17600000000000005,0.10493827160493807,0.4347826086956521,0.65,JOHD,JOHD
34,0.9600000000000001,0.38271604938271575,0.05797101449275363,0.2125,JOHD,JOHD
35,0.0040000000000000036,0.23456790123456783,0.4782608695652174,1.0,JOHD,JOHD
36,0.16800000000000004,0.2716049382716048,0.5797101449275363,0.7375,JOHD,JOHD
37,0.392,0.3024691358024689,0.7391304347826086,0.6250000000000001,JOHD,JOHD
38,0.32799999999999996,0.5246913580246912,0.6086956521739131,0.6625000000000001,JOHD,JOHD
39,1.0,0.154320987654321,0.0,0.1,JOHD,JOHD
40,0.17600000000000005,0.17901234567901225,0.4492753623188406,0.6625000000000001,JOHD,JOHD
41,0.18400000000000005,0.10493827160493807,0.1739130434782609,0.037500000000000006,JOHD,WT
42,0.09600000000000009,0.16666666666666652,0.5942028985507246,0.6625000000000001,JOHD,JOHD
43,0.384,0.5555555555555556,0.08695652173913043,0.125,JOHD,JOHD
44,0.05600000000000005,0.5185185185185184,0.043478260869565216,0.012499999999999997,JOHD,JOHD
45,0.020000000000000018,0.35185185185185186,0.6811594202898551,0.7125,JOHD,JOHD
46,0.2440000000000001,0.4814814814814812,0.1884057971014493,0.0625,JOHD,JOHD
47,0.10000000000000009,0.05555555555555558,0.05797101449275363,0.1,WT,WT
48,0.5559999999999999,0.05555555555555558,0.08695652173913043,0.0,WT,WT
49,0.028000000000000025,0.4074074074074072,0.08695652173913043,0.075,WT,JOHD
50,0.2600000000000001,0.11111111111111094,0.08695652173913043,0.1,WT,WT
51,0.136,0.40123456790123435,0.1884057971014493,0.075,WT,WT
52,0.2560000000000001,0.6234567901234567,0.1884057971014493,0.0875,WT,JOHD
53,0.27600000000000013,0.5061728395061726,0.2463768115942029,0.0625,WT,JOHD
54,0.21200000000000008,0.1172839506172838,0.0,0.024999999999999994,WT,WT
